Pin Total Set (dBm);Pin Total OSA (dBm);Ganho Total Set (dB);Ganho Total OSA (dB);Pout Total Esperada (dBm);Pout Total OSA (dBm);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Freq. Canal (Hz);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pin Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Pout Canal (dBm);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);Ganho Canal (dB);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);P_ASE Gerada Canal (dBm);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB);NF Canal (dB)
-1.0;-0.6712942941286224;10.0;10.027336509850443;9.0;9.356042215721821;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;-17.894792232892843;;;-17.941277568546347;;;-18.07330874760717;;;;;;-18.064241557424403;;-18.121049332369466;;;-17.939245888321928;;-17.89412232332198;;-17.952807045095952;;;;;;;;;;;;;-18.13589926610664;;;;;;-8.7735246729433;;;-8.594437524855186;;;-8.205467234439961;;;;;;-8.149557722907371;;-8.167836430067375;;;-8.018079421795214;;-8.044705916320954;;-8.000418694177952;;;;;;;;;;;;;-7.752093496053471;;;;;;9.121267559949544;;;9.34684004369116;;;9.867841513167212;;;;;;9.914683834517032;;9.953212902302091;;;9.921166466526714;;9.849416407001026;;9.952388350918;;;;;;;;;;;;;10.383805770053169;;;;;;-29.546169331015992;;;-29.38758920239955;;;-29.058056246652715;;;;;;-29.069731660347898;;-29.054970991361483;;;-29.062812848641887;;-29.08414377744017;;-29.079427912330903;;;;;;;;;;;;;-28.72232999946987;;;;;;19.33787708391438;;;19.288781007527643;;;19.116326826646656;;;;;;19.095014988012192;;19.083877013751373;;;19.12689873213936;;19.19022355578938;;19.10482799706331;;;;;;;;;;;;;19.11209161656213;
-10.0;-9.715591868410009;10.0;9.80812092308772;0.0;0.0925290546777125;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;-23.998060509892454;;;;;;-23.988236933598778;;;;;;-24.016129260271008;;;;;-23.957544758997784;;;;;;;;;;;;;;-24.05276959615871;;;;;;;;;-17.052036953042467;;;;;;-15.75079859056862;;;;;;-15.589192990781706;;;;;-15.460976773820327;;;;;;;;;;;;;;-15.015830953180462;;;;;;;;;6.9460235568499895;;;;;;8.237438343030156;;;;;;8.4269362694893;;;;;8.496567985177455;;;;;;;;;;;;;;9.036938642978246;;;;;;;;;-31.319368450737283;;;;;;-30.276141889276133;;;;;;-30.222033303041016;;;;;-30.196175346073467;;;;;;;;;;;;;;-29.770167157052704;;;;;;;;;19.74304343860642;;;;;;19.53042058347979;;;;;;19.432118212409772;;;;;19.419746777206132;;;;;;;;;;;;;;19.393803588050954;;;;
-11.0;-10.713253048579642;10.0;9.797070350141174;-1.0;-0.9161826984384678;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-12.0;-11.686650177102369;10.0;9.78812564758111;-2.0;-1.8985245295212585;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-13.0;-12.628580464533227;10.0;9.700469102068439;-3.0;-2.9281113624647888;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;-23.935407253167913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-16.524513541457168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.410893711710744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-31.2122130768323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.52284833088775;;;;;;;;;;;;;
-14.0;-13.671643292757478;10.0;9.683945057623346;-4.0;-3.987698235134132;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;-24.945904047058974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-18.000418597742843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.945485449316132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-31.707251884541346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.494279967635546;;;;;;;;;;;;;
-15.0;-14.700591772495159;10.0;9.620105407372602;-5.0;-5.080486365122558;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16.0;-15.635013153095805;10.0;9.548473241224496;-6.0;-6.086539911871308;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-17.0;-16.68196025043741;10.0;9.489230995104798;-7.0;-7.192729255332613;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2.0;-1.6953629430423;10.0;10.021393225560587;8.0;8.326030282518287;1.9587825840376766E14;1.957804004391129E14;1.9569068735635334E14;1.9558484994780794E14;1.9549123658164734E14;1.9539363748940884E14;1.9530033425991494E14;1.9521919603873484E14;1.9511374089571044E14;1.9501664513493434E14;1.9492763048385922E14;1.9483059320194394E14;1.9474579642511E14;1.9464906643361862E14;1.9456442756186728E14;1.9446371486932397E14;1.9437129741890725E14;1.9427884186678278E14;1.9418244929948766E14;1.9409029893118166E14;1.9399409332010672E14;1.9390199618007338E14;1.9380209321869547E14;1.9371017824627784E14;1.936223519959492E14;1.9351873944996175E14;1.9343108666743662E14;1.9333166824018612E14;1.932362130421611E14;1.9314085205734328E14;1.9304968739717012E14;1.929584845619674E14;1.9286339742760847E14;1.927724944410936E14;1.9267759047976512E14;1.9257894490035172E14;1.9249609636604716E14;1.9238961095634416E14;1.923031011739893E14;1.92216545913853E14;;-18.857029332773653;;;-18.944887987945833;;;-18.904117002096083;;;-18.938918363833338;;;;;;-18.929554202867436;;-19.092444415870155;;;-19.14753128567185;;-19.119012127830754;;-18.98001898511096;;;;;;;;;;-18.941475652896624;;;-18.99553288804669;;;-9.930414987683942;;;-9.842600632070376;;;-9.580103741962704;;;-9.16491963198819;;;;;;-9.159685230310446;;-9.188025837043686;;;-9.234610810176967;;-9.222917622404841;;-9.127372528025976;;;;;;;;;;-8.746804793119964;;;-8.721193488743275;;;8.926614345089712;;;9.102287355875458;;;9.324013260133377;;;9.773998731845149;;;;;;9.76986897255699;;9.904418578826466;;;9.912920475494882;;9.89609450542591;;9.852646457084985;;;;;;;;;;10.19467085977666;;;10.274339399303415;;;-29.70894637891913;;;-29.589160070274122;;;-29.412082671811362;;;-29.080061454575382;;;;;;-29.09241353563808;;-29.07528885699888;;;-29.081068201925433;;-29.108916253728047;;-29.103541633387522;;;;;;;;;;-28.790371137108394;;;-28.73753541359811;;;19.350760759341114;;;19.313928152697223;;;19.287147950504412;;;19.188192274603036;;;;;;19.217176540208676;;19.1123788920909;;;19.116912146843003;;19.118803972611683;;19.180486213119316;;;;;;;;;;19.214608305635824;;;19.206369679958964;
